Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money,BClass
124,1,0,1,1.0986122886681098,0,2,0,0,1.3862943611198906,2,1,2.1835589107723035,0
10,1,1,1,1.0986122886681098,2,0,1,0,0.6931471805599453,1,0,18.854165025399162,0
75,0,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,0,1,14.952101243339357,0
74,0,1,3,1.0986122886681098,1,0,0,0,0.6931471805599453,0,1,5.001619733087937,0
162,1,1,3,1.0986122886681098,1,0,1,0,0.6931471805599453,0,1,1.4820509320520234,0
45,0,1,2,1.0986122886681098,1,0,0,0,0.6931471805599453,0,1,10.633472962349083,0
99,0,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,4,1,12.269976604478346,0
161,1,1,3,1.0986122886681098,1,0,1,0,0.6931471805599453,0,0,3.3352712356936998,0
71,0,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,0,0,4.253740495601037,0
103,1,0,0,1.0986122886681098,0,2,0,0,1.0986122886681098,8,1,11.089393924267592,0
137,1,0,0,1.0986122886681098,1,2,0,1,0.6931471805599453,5,0,19.088819561059687,0
7,1,1,1,1.0986122886681098,1,0,0,0,0.6931471805599453,0,0,28.54725955039404,0
155,1,1,3,0.6931471805599453,1,0,1,0,0.6931471805599453,0,1,0.4251558744912447,0
160,1,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,0,1,3.1191249430228325,0
99,0,0,3,0.6931471805599453,0,0,1,0,0.6931471805599453,0,1,8.187596066160102,0
113,1,0,1,1.0986122886681098,0,2,0,0,1.3862943611198906,5,1,6.874746830177766,0
106,1,0,1,1.0986122886681098,0,2,0,0,1.3862943611198906,9,1,5.315430450810003,0
133,1,0,1,1.0986122886681098,0,2,0,1,0.6931471805599453,4,2,19.497541333697654,0
52,0,0,2,1.0986122886681098,1,1,0,0,0.6931471805599453,1,1,26.185450708005444,0
43,0,0,1,1.0986122886681098,1,0,0,0,0.6931471805599453,0,1,11.100117013093087,0
114,1,0,1,1.0986122886681098,0,1,0,0,1.0986122886681098,10,0,20.0,1
17,0,0,0,1.0986122886681098,2,1,1,0,0.6931471805599453,5,2,5.0,0
53,0,0,3,1.0986122886681098,2,2,0,0,0.6931471805599453,0,0,15.0,1
156,1,0,0,1.0986122886681098,2,2,0,0,1.0986122886681098,5,1,30.0,0
9,0,0,2,1.0986122886681098,2,1,0,0,0.6931471805599453,4,1,39.5,1
120,0,1,1,1.0986122886681098,0,1,0,0,1.0986122886681098,4,0,30.0,1
77,1,0,2,1.0986122886681098,2,1,0,1,1.3862943611198906,3,1,20.0,1
73,1,0,3,1.0986122886681098,2,1,0,1,1.3862943611198906,10,1,39.5,1
51,0,0,1,1.0986122886681098,1,2,0,0,0.6931471805599453,7,0,39.5,0
145,1,1,2,0.6931471805599453,0,0,1,0,1.5040773967762742,0,1,0.0,0
118,0,0,1,0.6931471805599453,0,1,1,0,0.6931471805599453,5,2,1.5,0
81,1,0,0,1.0986122886681098,2,1,0,1,1.0986122886681098,3,2,5.0,1
4,0,1,2,0.6931471805599453,0,0,1,0,0.6931471805599453,2,1,20.0,1
148,0,0,0,1.0986122886681098,2,0,0,0,0.6931471805599453,0,0,2.0,1
140,0,0,1,1.0986122886681098,2,2,0,0,0.6931471805599453,4,0,15.0,0
91,0,0,1,1.0986122886681098,0,2,0,0,1.0986122886681098,3,0,20.0,1
149,0,0,0,1.0986122886681098,0,1,0,0,1.0986122886681098,2,1,5.0,0
58,0,0,0,1.0986122886681098,2,1,0,1,1.0986122886681098,4,0,25.0,1
44,1,0,1,1.0986122886681098,0,2,0,0,1.0986122886681098,4,1,5.0,0
6,1,0,0,1.0986122886681098,2,2,0,1,1.0986122886681098,2,1,15.0,1
126,1,0,0,1.0986122886681098,2,1,0,0,1.3862943611198906,1,1,3.0,1
90,1,0,2,0.6931471805599453,1,2,0,0,1.0986122886681098,8,0,0.0,1
